turns,winner,increment_code,white_rating,black_rating,opening_name
43,white,10+0,1824,1500,Horwitz Defense
38,black,15+0,1661,1364,Bishop's Opening
68,white,5+8,1390,1364,Van't Kruijs Opening
17,white,15+6,1168,1364,Van't Kruijs Opening
47,white,10+0,2005,1500,Italian Game
71,white,30+0,1531,1500,Queen's Pawn Game
66,black,10+0,1413,1271,Queen's Pawn Game: Mason Attack
42,black,10+0,1279,1406,Scandinavian Defense
135,white,10+0,1398,1286,Queen's Pawn Game: Mason Attack
27,black,10+0,1407,1461,Sicilian Defense: Old Sicilian
53,white,10+0,1283,1422,Scandinavian Defense
29,white,20+20,2244,1411,Queen's Gambit Accepted: Old Variation
49,white,10+0,1405,1417,Queen's Pawn Game: Chigorin Variation
49,white,8+0,1430,1256,Horwitz Defense
55,white,10+0,1335,1444,Scandinavian Defense
76,black,10+0,1355,1428,Scandinavian Defense
41,black,10+0,1441,1338,Bishop's Opening
56,black,10+0,1451,1480,Queen's Pawn Game: Mason Attack
75,white,10+0,1429,1511,Bishop's Opening
131,white,10+0,1416,1491,Queen's Pawn Game: Mason Attack
48,black,10+0,1406,1423,Scandinavian Defense
80,black,10+0,1364,1397,Scandinavian Defense
81,white,10+0,1404,1197,Bishop's Opening
49,white,10+0,1397,1415,Queen's Pawn Game: Chigorin Variation
79,white,10+0,1405,1408,Queen's Pawn Game: Mason Attack
13,white,10+0,1171,1422,Queen's Pawn Game: Chigorin Variation
105,white,10+0,1412,1401,French Defense #2
83,white,10+0,1518,1419,Hungarian Opening
77,white,15+0,1393,1527,Queen's Pawn Game
55,white,20+0,1527,1393,Queen's Pawn Game #2
78,black,15+0,1309,1393,Scandinavian Defense: Mieses-Kotroc Variation
78,black,15+0,1393,1527,Queen's Pawn Game #2
63,white,15+0,1428,1730,Queen's Pawn Game #2
50,black,20+0,1428,1527,Queen's Pawn Game #2
87,white,20+0,1279,1428,Scandinavian Defense: Mieses-Kotroc Variation
65,white,15+0,1730,1428,Queen's Pawn Game
78,black,15+0,1309,1393,Scandinavian Defense: Mieses-Kotroc Variation
108,black,20+0,1309,1527,Scandinavian Defense: Mieses-Kotroc Variation
37,white,5+5,1845,1507,Queen's Pawn
16,black,5+5,1513,1783,Horwitz Defense
60,black,5+5,1599,1499,Scandinavian Defense
120,black,5+5,1533,1507,Queen's Pawn
24,black,5+5,1513,1695,Hungarian Opening
50,black,5+5,1526,1542,Sicilian Defense
37,white,17+5,1383,1136,Giuoco Piano
11,white,13+10,1372,1003,Sicilian Defense
77,white,10+0,1364,1065,French Defense: Knight Variation
20,black,15+0,1196,1348,Queen's Gambit Accepted: Old Variation
37,white,10+0,1336,1088,French Defense: Knight Variation
17,draw,5+5,1382,1304,Bishop's Opening
30,white,15+0,1285,1116,Sicilian Defense: Old Sicilian
77,white,5+10,1271,1328,Four Knights Game: Italian Variation
101,white,15+15,1547,1567,Queen's Gambit Accepted: Old Variation
80,black,10+10,1429,1552,French Defense: Knight Variation
64,black,10+0,1805,1727,French Defense: Knight Variation
36,black,20+15,1500,1425,Sicilian Defense
105,white,15+15,1403,1428,Sicilian Defense
42,black,15+15,1470,1428,Sicilian Defense: Bowdler Attack
37,white,15+15,1556,1410,Sicilian Defense: Bowdler Attack
47,white,15+15,1410,1300,Owen Defense
39,white,15+15,1469,1453,Sicilian Defense: Smith-Morra Gambit #2
64,black,15+15,1500,1374,Sicilian Defense
62,black,15+15,1333,1364,Sicilian Defense
43,white,10+0,1275,1308,Italian Game
131,white,10+0,1264,1315,King's Pawn Game: Wayward Queen Attack
75,white,10+0,1250,1156,Scandinavian Defense
33,white,15+15,1373,1084,Scandinavian Defense: Mieses-Kotroc Variation
121,white,10+60,2286,1373,Queen's Pawn Game: Chigorin Variation
52,black,3+9,1194,1311,Van't Kruijs Opening
41,white,15+10,1358,886,Sicilian Defense: Bowdler Attack
61,white,10+5,1500,898,Sicilian Defense
27,white,17+11,1397,940,Four Knights Game: Italian Variation
36,white,5+8,1110,1500,Queen's Pawn Game: Chigorin Variation
20,black,5+10,1500,1595,Scandinavian Defense
12,black,5+10,1500,1595,Scandinavian Defense
21,white,15+0,1649,1500,Queen's Pawn Game: Mason Attack
7,white,15+0,1500,1500,Bishop's Opening
47,white,10+0,1789,1695,Sicilian Defense
12,white,9+1,1739,1260,Hungarian Opening
6,black,9+1,1423,1576,French Defense: Normal Variation
3,black,10+0,1500,1500,Horwitz Defense
35,white,10+0,1307,1033,French Defense #2
43,white,10+0,983,1051,French Defense #2
42,black,10+0,1058,1249,Scandinavian Defense
65,white,10+0,1308,1079,Scotch Game
119,white,10+0,1125,1124,Queen's Pawn Game: Mason Attack
52,white,15+15,1131,1167,Scandinavian Defense
16,white,15+15,1107,1225,Scandinavian Defense
16,black,10+0,1132,1107,French Defense: Knight Variation
67,white,10+0,1208,1123,French Defense: Knight Variation
34,black,15+15,1110,1320,Scandinavian Defense
119,white,15+15,1098,1123,Queen's Pawn Game: Chigorin Variation
44,black,15+15,1138,1368,Owen Defense
30,white,15+15,1114,998,Modern Defense
47,black,15+15,1296,1051,Queen's Pawn Game: Chigorin Variation
95,white,15+15,1045,1101,Queen's Pawn Game: Zukertort Variation
86,black,10+0,1253,1956,Horwitz Defense
70,black,10+0,1265,1720,Horwitz Defense
25,white,10+0,1551,1276,Caro-Kann Defense
19,black,10+0,1283,1668,Sicilian Defense: Smith-Morra Gambit #2
96,black,10+0,1666,1212,Queen's Pawn Game: Chigorin Variation
39,white,15+15,1725,1402,Scandinavian Defense
35,white,15+15,1355,1352,English Opening: King's English Variation
77,white,20+0,1500,1375,Queen's Pawn Game
14,white,12+2,1355,1431,English Opening: King's English Variation
24,black,30+0,1616,1504,Ruy Lopez: Steinitz Defense
58,black,25+0,1504,1612,Scandinavian Defense: Mieses-Kotroc Variation
58,black,5+15,1500,1504,Queen's Pawn Game: Mason Attack
38,black,5+15,1500,1504,Queen's Pawn Game: Mason Attack
81,white,12+6,1504,1500,Scandinavian Defense
33,draw,8+8,1428,1507,Philidor Defense #2
28,black,10+0,1233,1503,Italian Game: Anti-Fried Liver Defense
25,white,10+0,1500,1149,Bishop's Opening
56,black,20+5,1587,1500,Queen's Pawn Game: Chigorin Variation
19,draw,5+10,1527,1500,Italian Game: Anti-Fried Liver Defense
58,black,5+10,1500,1500,King's Pawn Game: Wayward Queen Attack
78,black,25+30,1500,1500,King's Pawn Game: Leonardis Variation
59,white,30+0,1500,1500,Queen's Pawn Game: Chigorin Variation
61,white,10+0,1381,1500,Ruy Lopez: Steinitz Defense
10,black,15+0,1500,1500,Ruy Lopez: Steinitz Defense
81,white,15+8,1668,1543,French Defense: Knight Variation
84,black,15+8,1696,1527,French Defense: Knight Variation
66,black,15+2,1579,1664,Queen's Gambit Accepted: Old Variation
58,black,15+2,1678,1565,Modern Defense
88,black,15+2,1691,1696,Queen's Pawn Game: Chigorin Variation
23,white,15+2,1684,1703,Italian Game: Anti-Fried Liver Defense
62,black,15+2,1717,1618,Italian Game: Anti-Fried Liver Defense
95,black,15+2,1626,1708,Owen Defense
80,black,15+2,1656,1729,Queen's Gambit Refused: Marshall Defense
135,white,15+2,1719,1677,Philidor Defense #2
147,draw,15+2,1696,1722,Italian Game: Anti-Fried Liver Defense
37,white,15+2,1718,1436,Philidor Defense #2
87,white,15+2,1709,1629,Queen's Pawn Game: Chigorin Variation
10,black,15+2,1518,1689,Italian Game: Anti-Fried Liver Defense
71,white,15+2,1683,1495,Queen's Pawn Game: Chigorin Variation
54,black,15+2,1694,1707,Three Knights Opening
34,black,10+1,1482,1472,Horwitz Defense
43,white,12+0,1473,1401,Queen's Gambit Declined
22,black,10+0,1163,1985,Bishop's Opening
78,black,10+3,1158,1383,Bishop's Opening
13,white,25+3,1147,1108,Philidor Defense #3
102,black,15+10,1206,1132,Van't Kruijs Opening
67,white,10+5,1103,1146,King's Pawn Game: Leonardis Variation
97,white,17+1,1111,1198,French Defense #2
60,black,15+0,1160,796,Scandinavian Defense: Mieses-Kotroc Variation
82,black,30+1,1084,1146,Horwitz Defense
62,black,20+0,1158,1191,Bishop's Opening
62,white,13+1,1148,1165,French Defense #2
60,black,13+1,1161,1200,Bishop's Opening
42,black,15+15,1160,1070,French Defense #2
90,black,10+0,1140,1011,Scandinavian Defense
33,white,10+0,995,1167,Bishop's Opening
101,white,10+0,1156,997,Scandinavian Defense
54,black,10+8,1089,1162,King's Pawn Game: Leonardis Variation
72,black,20+0,1092,1144,English Opening: King's English Variation
38,black,20+0,1172,1077,Scandinavian Defense
17,white,10+5,1742,1218,Owen Defense
113,white,15+5,1500,1261,Owen Defense
18,black,10+0,1317,1538,Scandinavian Defense
46,black,15+0,1317,1500,King's Pawn Game: Leonardis Variation
63,white,6+5,1504,1500,Owen Defense
26,black,10+0,1391,1774,Ruy Lopez: Steinitz Defense
117,white,10+0,1686,1400,Scotch Game
48,black,30+0,1408,1577,Italian Game: Anti-Fried Liver Defense
32,black,10+0,1418,1741,Scandinavian Defense: Mieses-Kotroc Variation
40,black,10+0,1422,2026,Three Knights Opening
29,black,10+0,1523,1375,Four Knights Game: Italian Variation
93,black,7+2,1375,1992,Scandinavian Defense: Mieses-Kotroc Variation
95,white,8+25,1281,930,French Defense: Normal Variation
18,black,15+0,950,1274,Sicilian Defense: Bowdler Attack
31,white,15+0,1270,953,Scotch Game
61,white,10+0,1245,1277,Queen's Pawn Game: Chigorin Variation
28,black,20+0,1152,1246,Sicilian Defense
9,white,19+19,1231,905,Queen's Pawn Game: Zukertort Variation
32,black,15+0,1268,1204,Sicilian Defense: Bowdler Attack
115,white,15+0,1017,1223,Queen's Pawn Game: Chigorin Variation
41,white,20+0,1249,1500,Queen's Pawn Game: Chigorin Variation
49,black,25+0,1249,1531,Horwitz Defense
43,white,30+0,1111,1275,Queen's Pawn Game: Chigorin Variation
97,white,10+0,1667,1250,Queen's Gambit Accepted: Old Variation
40,black,10+0,1252,1770,King's Pawn Game: Leonardis Variation
57,white,10+0,1689,1254,Queen's Pawn Game: Chigorin Variation
35,white,10+0,2033,1256,Van't Kruijs Opening
46,black,10+0,1525,1232,Philidor Defense #3
60,black,10+0,1235,1592,Modern Defense
35,white,10+0,1709,1291,Owen Defense
31,white,10+0,1755,1293,Queen's Gambit Declined
64,black,10+0,1296,1702,Sicilian Defense: Old Sicilian
45,white,10+0,1680,1299,Bishop's Opening
31,white,10+0,1809,1314,Italian Game
30,black,30+1,1324,1599,Philidor Defense #2
34,black,30+1,1289,1321,Van't Kruijs Opening
81,white,10+0,1297,1532,Scandinavian Defense
84,black,10+0,1300,1749,Pirc Defense #4
30,black,30+1,1453,1261,Queen's Pawn Game: Chigorin Variation
98,black,30+1,1453,1222,Queen's Pawn Game
70,black,30+1,1338,1200,Philidor Defense #2
74,black,10+0,1213,1519,Sicilian Defense: Smith-Morra Gambit #2
53,white,10+0,1833,1214,Queen's Pawn Game #2
88,black,10+0,1188,1605,Hungarian Opening
68,black,10+0,1374,1553,Queen's Pawn Game: Mason Attack
56,black,10+0,1669,1481,Horwitz Defense
46,black,10+0,1453,1412,Queen's Gambit Refused: Marshall Defense
66,black,10+0,1235,1375,Modern Defense
19,white,10+0,1306,1546,Scandinavian Defense: Mieses-Kotroc Variation
21,white,10+0,1258,1673,French Defense: Knight Variation
27,white,10+0,1113,1122,Philidor Defense
59,white,10+60,1102,1810,Van't Kruijs Opening
106,black,10+0,1098,1249,Van't Kruijs Opening
79,white,10+0,1241,1112,French Defense #2
124,black,10+0,1130,1210,Van't Kruijs Opening
60,black,10+0,1169,1104,French Defense: Knight Variation
88,black,10+0,1114,1384,Van't Kruijs Opening
39,white,10+0,1636,1116,French Defense: Normal Variation
53,white,10+0,1825,1074,French Defense #2
28,black,10+0,1074,2151,Van't Kruijs Opening
61,white,6+8,1429,1416,Indian Game
64,black,5+10,1425,1447,Italian Game: Anti-Fried Liver Defense
127,black,20+0,1451,1414,Sicilian Defense
43,black,20+0,1436,1389,Scandinavian Defense: Mieses-Kotroc Variation
51,black,10+25,1472,1498,Caro-Kann Defense
93,black,20+15,1459,1461,Sicilian Defense: Bowdler Attack
89,white,8+0,1456,1472,Sicilian Defense
43,white,9+3,1441,1462,Italian Game: Anti-Fried Liver Defense
66,white,8+5,1451,1451,Sicilian Defense: Bowdler Attack
100,black,8+0,1461,1491,Italian Game: Anti-Fried Liver Defense
51,white,12+8,1465,1472,Sicilian Defense
36,black,15+2,1464,1415,Italian Game: Anti-Fried Liver Defense
96,white,10+0,1471,1454,Sicilian Defense
81,white,45+15,1417,1477,Sicilian Defense
65,white,5+8,1474,1201,Philidor Defense
21,white,5+5,1510,1483,Sicilian Defense: Bowdler Attack
42,black,10+0,1498,1768,Italian Game: Anti-Fried Liver Defense
75,white,10+0,1435,1523,Sicilian Defense: Smith-Morra Gambit #2
66,black,20+0,1536,1460,Philidor Defense
113,draw,20+0,1561,1525,Italian Game
42,draw,10+15,1456,1556,Sicilian Defense: Bowdler Attack
145,white,25+0,1546,1532,Philidor Defense
78,black,15+2,1543,1536,Indian Game
76,white,11+0,1477,1560,Van't Kruijs Opening
78,black,8+0,1436,1568,Modern Defense
59,white,5+5,1567,1108,Hungarian Opening
89,white,9+0,1301,1587,Modern Defense
103,white,8+8,1292,1622,Modern Defense
163,white,6+5,1616,1404,Hungarian Opening
19,white,9+9,1613,1279,Hungarian Opening
53,white,5+8,1607,1403,Hungarian Opening
71,white,5+5,1600,1421,Hungarian Opening
88,black,10+0,1580,1763,Queen's Pawn Game: Mason Attack
64,black,5+5,1966,2214,Queen's Pawn Game: Mason Attack
67,black,7+4,2169,2221,Queen's Gambit Refused: Marshall Defense
7,white,7+4,2173,2189,Scandinavian Defense: Mieses-Kotroc Variation
122,black,7+4,2176,2027,Sicilian Defense
87,black,7+4,2018,2167,Queen's Gambit Declined
84,black,7+4,1989,2160,Queen's Gambit Refused: Marshall Defense
33,white,7+4,2145,1631,Sicilian Defense: Old Sicilian
48,black,7+4,1692,2143,Queen's Gambit Declined
25,black,7+4,1690,2141,Scotch Game
93,white,7+4,2129,2088,Sicilian Defense
78,black,10+0,1852,1874,Queen's Pawn Game: Mason Attack
87,white,10+0,1828,1767,Horwitz Defense
54,black,10+0,1863,1831,Queen's Pawn Game: Mason Attack
17,white,10+0,1846,1561,Queen's Pawn Game: Mason Attack
136,black,10+0,1565,1831,Sicilian Defense: Bowdler Attack
79,white,10+0,1814,1569,Queen's Pawn Game: Mason Attack
42,black,10+0,1741,1771,Queen's Pawn Game: Zukertort Variation
63,white,10+0,1712,1752,Queen's Pawn Game: Mason Attack
42,black,10+0,1581,1767,Sicilian Defense: Bowdler Attack
138,black,10+0,1410,1736,Sicilian Defense: Smith-Morra Gambit #2
52,white,10+0,1688,1414,Horwitz Defense
42,white,10+0,1732,1653,Queen's Gambit Declined
64,black,10+0,1634,1715,Philidor Defense #2
55,white,10+0,1727,1625,French Defense: Exchange Variation
42,black,10+0,973,1173,Van't Kruijs Opening
73,white,10+0,1272,986,Hungarian Opening
93,white,10+0,979,1043,Owen Defense
45,white,10+0,1053,1017,Bishop's Opening
69,white,10+0,1261,1045,Van't Kruijs Opening
27,white,10+0,1378,1071,Italian Game: Anti-Fried Liver Defense
36,black,10+0,1092,1143,Van't Kruijs Opening
59,white,10+0,1140,1117,French Defense: Knight Variation
56,black,10+0,1141,1168,Scandinavian Defense
44,black,10+0,1136,1344,Scandinavian Defense: Mieses-Kotroc Variation
39,white,10+0,1076,1343,Sicilian Defense: Smith-Morra Gambit #2
61,white,10+0,1190,1052,King's Pawn Game: Wayward Queen Attack
38,black,10+0,1152,1218,Queen's Pawn Game
43,draw,10+0,1500,1770,Philidor Defense #2
104,black,10+0,1082,1480,Queen's Pawn Game: Chigorin Variation
44,black,10+0,1480,1488,Italian Game: Anti-Fried Liver Defense
23,white,10+0,1480,1350,Italian Game: Anti-Fried Liver Defense
14,black,10+0,1027,1480,Four Knights Game: Italian Variation
40,black,10+0,1480,1490,Four Knights Game: Italian Variation
71,white,10+0,1082,1480,Ruy Lopez: Steinitz Defense
66,black,10+0,1314,1480,King's Pawn Game: Leonardis Variation
57,white,10+0,1480,1465,Four Knights Game: Italian Variation
58,black,10+0,1480,1500,Scandinavian Defense: Mieses-Kotroc Variation
154,black,10+0,1276,1480,King's Pawn Game: Leonardis Variation
109,draw,10+0,1475,1480,Scotch Game
55,white,10+0,1480,1301,Four Knights Game: Italian Variation
35,white,10+0,1500,1480,Queen's Pawn Game #2
6,white,10+0,1480,1269,Three Knights Opening
49,white,10+0,1480,944,Four Knights Game: Italian Variation
29,white,15+0,1269,1136,Queen's Pawn Game: Chigorin Variation
25,white,15+5,1637,1205,Queen's Pawn
15,white,7+2,1123,1256,Queen's Pawn
35,white,15+0,1545,1500,Scotch Game
63,white,7+12,1691,1500,Philidor Defense #3
26,black,20+0,1500,1542,King's Pawn Game: Leonardis Variation
10,black,20+0,1500,1827,King's Pawn Game: Leonardis Variation
79,white,10+10,1837,1900,Queen's Pawn Game: Chigorin Variation
64,black,5+8,1935,1875,Philidor Defense
141,white,8+0,1874,1876,Modern Defense
68,black,10+0,1932,1951,Bishop's Opening
92,black,10+0,1972,1919,Sicilian Defense: Old Sicilian
126,black,10+0,1929,1955,Bishop's Opening
54,black,8+0,1259,1704,French Defense: Knight Variation
153,white,7+2,2001,1740,Queen's Pawn Game: Mason Attack
126,black,7+2,1759,1532,Scandinavian Defense: Mieses-Kotroc Variation
45,white,7+2,1853,1766,Philidor Defense
68,draw,7+2,1775,1544,French Defense: Knight Variation
16,white,10+0,1489,1592,Queen's Pawn Game: Mason Attack
52,black,10+0,1602,1636,Queen's Gambit Declined
51,white,10+0,1567,1494,Ruy Lopez: Steinitz Defense
38,black,15+0,1600,1545,Giuoco Piano
118,black,10+0,1531,1689,Queen's Gambit Accepted: Old Variation
94,black,30+0,1545,1461,Ruy Lopez: Steinitz Defense
116,black,10+0,1600,1521,Scandinavian Defense
99,white,10+0,1532,1472,French Defense: Normal Variation
47,white,10+0,1632,1541,Giuoco Piano
170,black,10+0,1551,1574,Italian Game: Anti-Fried Liver Defense
87,white,10+0,1477,1590,Scandinavian Defense: Mieses-Kotroc Variation
65,white,10+0,1939,1619,Scandinavian Defense: Mieses-Kotroc Variation
102,black,10+0,1423,1614,Scandinavian Defense
41,white,10+10,1838,1610,Queen's Gambit Accepted: Old Variation
82,white,20+10,2067,1843,Queen's Pawn Game: Mason Attack
34,black,10+0,1805,1757,Queen's Pawn Game
35,white,10+0,1803,1335,Queen's Gambit Refused: Marshall Defense
41,white,10+0,1813,1874,Queen's Gambit Accepted: Old Variation
127,white,10+0,1801,1854,Queen's Pawn Game
86,draw,15+10,1804,1869,French Defense: Exchange Variation
76,black,15+10,1846,1977,French Defense: Exchange Variation
96,black,15+0,1693,1455,Queen's Gambit Refused: Marshall Defense
102,black,15+0,1588,1674,Giuoco Piano
134,black,15+0,1690,1540,Queen's Gambit Accepted: Old Variation
119,white,15+0,1718,1205,Queen's Gambit Accepted: Old Variation
18,black,15+0,1652,1708,Scotch Game
109,black,10+0,1525,1494,Scotch Game
65,white,10+0,1514,1108,Scotch Game
13,black,10+0,1538,1452,Scotch Game
66,black,10+0,1541,1900,Scotch Game
79,white,10+0,1708,1548,Pirc Defense #4
8,black,10+0,1732,1733,Owen Defense
33,white,10+0,1558,1551,Scandinavian Defense: Mieses-Kotroc Variation
119,white,10+0,1532,1546,Owen Defense
50,black,10+0,1377,1520,Scandinavian Defense
11,white,5+20,1500,1134,Indian Game
16,black,10+4,1278,1711,Queen's Gambit Refused: Marshall Defense
58,black,10+4,1278,1500,Scandinavian Defense
41,white,10+4,1500,1278,Queen's Pawn Game
16,black,10+4,1278,1500,Scandinavian Defense
10,black,10+5,1278,1500,Bishop's Opening
6,black,10+5,1278,1500,Bishop's Opening
7,white,15+0,1620,1278,Bishop's Opening
70,black,5+10,1278,1611,Sicilian Defense: Smith-Morra Gambit #2
41,white,10+5,1477,1364,Sicilian Defense: Smith-Morra Gambit #2
57,white,25+2,1423,1400,Owen Defense
73,white,15+10,1530,1400,Owen Defense
27,white,15+10,1619,1400,Modern Defense
16,white,25+0,1741,1400,Owen Defense
106,draw,5+8,1766,1400,Owen Defense
18,black,15+0,1352,1400,Owen Defense
25,black,15+15,1171,1400,Owen Defense
59,white,10+0,1318,1400,Owen Defense
15,white,20+0,1371,1400,Owen Defense
38,black,20+0,1675,1400,Owen Defense
18,black,10+0,1515,1400,Owen Defense
58,black,5+8,1366,1400,Owen Defense
31,black,5+5,1589,1400,Owen Defense
65,white,15+10,1566,1400,Van't Kruijs Opening
40,black,15+10,1356,1400,Owen Defense
56,black,15+10,1500,1400,Owen Defense
50,black,10+10,1532,1503,Queen's Pawn Game: Chigorin Variation
42,black,16+2,1470,1528,Giuoco Piano
15,white,16+2,1477,1541,Ruy Lopez: Steinitz Defense
48,black,16+2,1556,1420,Scandinavian Defense: Mieses-Kotroc Variation
15,white,16+2,1552,1314,French Defense: Knight Variation
44,black,20+5,1514,1524,King's Pawn Game: Wayward Queen Attack
52,black,10+0,1552,1512,Three Knights Opening
40,black,10+0,1499,1501,English Opening: King's English Variation
138,black,20+0,1394,1475,Giuoco Piano
23,black,20+0,1491,1283,Philidor Defense #3
34,black,15+0,1482,1504,Philidor Defense
46,black,10+0,1507,1494,French Defense: Knight Variation
35,white,10+0,1496,1489,Scandinavian Defense: Mieses-Kotroc Variation
23,white,10+0,1475,1465,French Defense: Knight Variation
46,black,15+10,1799,2193,French Defense: Knight Variation
51,white,10+3,2105,2047,French Defense: Knight Variation
28,black,12+13,1281,1500,Van't Kruijs Opening
60,black,10+3,1653,1742,Queen's Pawn Game: Mason Attack
112,black,8+8,1679,1652,Sicilian Defense: Bowdler Attack
171,white,10+5,1641,1643,Queen's Pawn Game: Mason Attack
65,white,15+0,1629,1699,Queen's Pawn Game: Mason Attack
29,black,45+0,1768,2126,Queen's Gambit Declined
51,white,10+30,1500,1319,Philidor Defense
71,white,25+0,1642,1055,Pirc Defense #4
9,white,15+0,1251,1086,Caro-Kann Defense
31,black,60+3,1091,1645,Van't Kruijs Opening
54,black,10+0,1183,1248,Van't Kruijs Opening
69,white,10+0,1236,1285,Pirc Defense #4
83,white,10+0,1662,1315,Modern Defense
96,black,10+5,1549,1425,Three Knights Opening
60,black,10+0,1488,1478,Ruy Lopez: Steinitz Defense
23,white,10+0,1825,1463,Scotch Game
94,white,10+0,1393,1404,Philidor Defense #2
83,white,10+0,1298,1398,Ruy Lopez: Steinitz Defense
133,white,10+0,1423,1418,Ruy Lopez: Steinitz Defense
46,black,10+0,1333,1361,Philidor Defense
27,white,20+6,1525,1501,Sicilian Defense: Bowdler Attack
61,white,13+10,1493,1439,Sicilian Defense: Bowdler Attack
123,white,10+0,1685,1499,King's Pawn Game: Leonardis Variation
99,white,10+0,1862,1502,Scandinavian Defense: Mieses-Kotroc Variation
45,white,10+0,1482,1648,Italian Game: Anti-Fried Liver Defense
44,black,20+7,1497,1820,English Opening: King's English Variation
23,white,25+0,1480,1637,Italian Game: Anti-Fried Liver Defense
53,white,1+30,1492,1487,Queen's Pawn Game: Mason Attack
43,white,10+0,1540,1569,Scandinavian Defense: Mieses-Kotroc Variation
56,black,10+0,1587,1573,Owen Defense
48,black,10+0,1299,1583,Queen's Pawn Game #2
56,black,10+0,1507,1573,Queen's Gambit Accepted: Old Variation
83,white,10+0,1560,1661,Sicilian Defense: Smith-Morra Gambit #2
76,black,10+0,1253,1556,Van't Kruijs Opening
43,white,10+0,1354,1557,Scandinavian Defense: Mieses-Kotroc Variation
48,white,10+0,1548,1334,Owen Defense
42,black,10+0,1572,1544,Scandinavian Defense: Mieses-Kotroc Variation
69,white,16+0,1421,1347,Queen's Gambit Refused: Marshall Defense
25,white,60+0,1563,1352,Indian Game
51,white,20+0,1336,1468,Four Knights Game: Italian Variation
60,black,10+5,1349,1497,Scotch Game
69,white,15+0,1468,1358,Philidor Defense #2
44,black,15+5,1360,1764,Scotch Game
69,white,8+8,1615,1332,Queen's Gambit Refused: Marshall Defense
48,black,30+0,1351,1532,Philidor Defense #3
30,black,15+5,1353,1485,French Defense: Knight Variation
46,black,4+8,1342,1546,Scotch Game
12,black,10+5,1372,1461,Owen Defense
56,black,10+3,1375,1679,French Defense: Knight Variation
30,black,25+5,1392,1488,Scotch Game
53,white,25+5,1479,1400,King's Pawn Game: Wayward Queen Attack
30,black,40+0,1399,1483,Italian Game: Anti-Fried Liver Defense
61,white,10+8,1564,1399,Hungarian Opening
30,black,10+2,1376,1444,French Defense: Knight Variation
11,white,10+0,1429,1404,French Defense: Knight Variation
22,black,10+5,1431,1376,Caro-Kann Defense
59,white,3+8,2285,2173,English Opening: King's English Variation
16,white,10+0,1514,1378,Queen's Pawn Game: Mason Attack
48,black,10+0,1311,1368,Queen's Pawn Game: Mason Attack
88,black,10+0,1369,2070,Queen's Pawn Game: Chigorin Variation
61,white,10+0,1344,1961,Scotch Game
70,black,10+0,1880,1320,Scandinavian Defense: Mieses-Kotroc Variation
41,black,10+0,1359,1218,Italian Game
106,black,10+0,1221,1226,King's Pawn Game: Wayward Queen Attack
29,black,10+0,1157,1211,King's Pawn Game: Leonardis Variation
19,white,10+0,1201,1180,Scotch Game
61,black,10+0,1166,1061,Scandinavian Defense
25,white,10+0,1197,1176,Ruy Lopez: Steinitz Defense
47,white,10+0,1163,1214,Queen's Gambit Declined
32,black,10+0,1152,1152,King's Pawn Game: Wayward Queen Attack
118,black,10+0,1154,1332,Caro-Kann Defense
27,white,10+0,1322,1147,Sicilian Defense: Smith-Morra Gambit #2
14,black,10+0,1153,1370,Bishop's Opening
74,black,10+0,1064,1144,Van't Kruijs Opening
8,black,30+0,1144,1500,Bishop's Opening
120,black,10+0,1157,1092,King's Pawn Game: Wayward Queen Attack
55,white,10+0,1151,1202,Horwitz Defense
85,white,10+0,1301,1143,Owen Defense
67,black,10+0,1155,1292,Modern Defense
74,black,5+10,1660,1838,Queen's Gambit Declined
42,black,15+15,1473,1775,Van't Kruijs Opening
20,black,15+15,1481,1730,Van't Kruijs Opening
35,white,15+15,1697,1486,French Defense: Normal Variation
50,black,15+15,1492,1649,Van't Kruijs Opening
25,white,15+15,1500,1524,Scandinavian Defense
31,white,12+12,1492,1173,Scotch Game
74,black,10+0,1208,1311,Three Knights Opening
13,white,15+0,1175,1142,King's Pawn Game: Wayward Queen Attack
52,black,20+0,1175,1673,King's Pawn Game: Wayward Queen Attack
9,white,20+0,1175,1673,King's Pawn Game: Wayward Queen Attack
11,white,15+15,1473,1166,Bishop's Opening
44,black,20+15,1155,1170,Bishop's Opening
68,black,20+15,1097,1902,Caro-Kann Defense
16,black,30+0,1107,1631,King's Pawn Game: Wayward Queen Attack
49,white,30+0,1273,1129,Van't Kruijs Opening
94,black,30+0,1155,1265,French Defense #2
22,black,10+10,1158,1766,King's Pawn Game: Wayward Queen Attack
16,draw,15+10,1551,1703,Sicilian Defense
46,white,15+10,1682,1703,Sicilian Defense
33,white,15+10,1722,1745,Ruy Lopez: Steinitz Defense
99,black,15+10,1722,1735,Philidor Defense #2
96,draw,15+10,1727,1586,Queen's Gambit Accepted: Old Variation
63,white,15+10,1670,1744,Sicilian Defense
54,black,15+10,1744,1924,Queen's Gambit Refused: Marshall Defense
28,black,15+10,1632,1727,Sicilian Defense: Bowdler Attack
109,white,15+10,1715,1788,Queen's Gambit Refused: Marshall Defense
11,white,15+10,1714,1658,Queen's Gambit Refused: Marshall Defense
32,black,15+10,1714,1709,Queen's Gambit Refused: Marshall Defense
52,black,15+10,1800,1714,Sicilian Defense
61,white,15+10,1651,1737,Sicilian Defense: Bowdler Attack
40,black,10+10,1559,1767,Italian Game: Anti-Fried Liver Defense
